operation_date,shop_id,isf,net_revenue,net_torque,discount_perc
2024-02-23,highway-adidas-shopping,54.047074232952255,5877.5,52.01327433628319,1.760653227864251
2024-02-24,highway-adidas-shopping,56.24328847467176,6026.5,52.8640350877193,0.7382828701783493
2024-02-25,highway-adidas-shopping,51.351133570252806,5083.04,51.60446700507614,1.6620640278203949
2024-02-27,highway-adidas-shopping,46.62158050499687,3389.0,50.582089552238806,0.471976401179941
2024-02-28,highway-adidas-shopping,46.30075216965272,3736.5,48.84313725490196,0.7357859531772575
2024-02-29,highway-adidas-shopping,42.54146852275731,6324.570000000001,30.926992665036675,1.067097510580074
2024-03-01,highway-adidas-shopping,55.10550654752093,5878.0,54.67906976744186,2.355842830413336
2024-03-02,highway-adidas-shopping,54.49575445457927,5540.0,53.26923076923077,1.136978884677856
2024-03-03,highway-adidas-shopping,56.15667589277431,5747.5,53.967136150234744,0.6610420109593806
2024-03-04,highway-adidas-shopping,46.95116846492301,4430.51,48.955911602209945,2.1775873235082397
2024-03-05,highway-adidas-shopping,50.0755718880489,3966.51,53.9661224489796,0.9955866525856267
2024-03-06,highway-adidas-shopping,52.79801732974756,5448.37,51.64331753554502,1.4405334928624776
2024-03-07,highway-adidas-shopping,48.457370312260885,4707.5,49.29319371727749,1.82648401826484
2024-03-08,highway-adidas-shopping,57.40174679418762,6639.5,51.6692607003891,0.7604849032452375
2024-03-09,highway-adidas-shopping,58.2214183605118,6335.0,54.84848484848485,1.002209595959596
2024-03-10,highway-adidas-shopping,54.14329699846503,5401.52,52.69775609756098,0.7311402826828961
2024-03-11,highway-adidas-shopping,47.83926420137025,3985.5300000000007,52.09843137254902,1.9440465768475337
2024-03-12,highway-adidas-shopping,47.64383670565899,3621.48,51.36851063829787,0.6768843444270224
2024-03-13,highway-adidas-shopping,46.49603729980686,4058.0,47.741176470588236,0.8376447400837644
2024-03-14,highway-adidas-shopping,49.76745624153093,3691.5,54.286764705882355,0.6770480704129994
2024-03-15,highway-adidas-shopping,46.35830191412134,5586.51,40.33581227436823,1.0201324024476017
2024-03-16,highway-adidas-shopping,56.9492118848378,5905.64,56.24419047619048,1.7099399997291185
2024-03-17,highway-adidas-shopping,56.366137383729374,6915.0,49.392857142857146,1.1422787738577211
2024-03-19,highway-adidas-shopping,46.113438553012074,3671.5,51.7112676056338,2.355343771272975
2024-03-20,highway-adidas-shopping,45.89815878696244,4073.5200000000004,47.643508771929824,1.3498522525352679
2024-03-21,highway-adidas-shopping,46.61766735242967,3423.5,53.4921875,2.2339027595269383
2024-03-22,highway-adidas-shopping,45.677759297479234,3640.5,51.638297872340424,2.6088150487436494
2024-03-23,highway-adidas-shopping,55.07975748798404,5476.0,54.76,1.2963301077232061
2024-03-24,highway-adidas-shopping,47.22418474485948,4140.05,50.18242424242425,1.8232090894821362
2024-03-25,highway-adidas-shopping,43.209330481493666,2841.52,48.99172413793104,1.0202214936042666
2024-03-26,highway-adidas-shopping,42.26500058272862,2757.0,47.947826086956525,1.015228426395939
2024-03-27,highway-adidas-shopping,47.4748773025655,4048.08,51.567898089171976,2.136287749315894
2024-03-28,highway-adidas-shopping,48.16353948688082,3781.0,53.25352112676056,1.7451084082496033
2024-03-29,highway-adidas-shopping,52.22976401964016,5334.02,52.551921182266014,2.136824229337472
2024-03-30,highway-adidas-shopping,44.929885518618725,6015.63,35.701068249258164,0.8310299951966466
2024-03-31,highway-adidas-shopping,49.16564537489055,4625.04,50.824615384615385,1.8482330459745269
2024-04-01,highway-adidas-shopping,44.3984085316415,3555.5300000000007,51.529420289855075,3.4303098806983208
2024-04-02,highway-adidas-shopping,45.69269299433436,3076.01,53.965087719298246,2.3399338968674135
2024-04-03,highway-adidas-shopping,43.9845408683485,3700.0600000000013,46.541635220125784,1.3509643183304239
2024-04-04,highway-adidas-shopping,47.07445162976547,3513.0200000000004,52.43313432835821,1.4797866830581496
2024-04-05,highway-adidas-shopping,50.22087707336447,4820.040000000001,51.82838709677419,2.043127623915171
2024-04-06,highway-adidas-shopping,50.46674615318247,4326.01,52.75621951219512,0.9706471674435696
2024-04-07,highway-adidas-shopping,50.10263123773693,4515.5,52.202312138728324,1.5055906121997122
2024-04-08,highway-adidas-shopping,44.65054404400851,3650.06,48.99409395973154,2.026808652829589
